행정동코드,총생활인구수,raw_score_floating_pop
3288.5814,106.4375,106.4375
3290.2894,106.2028,106.2028
3291.031,74.3632,74.3632
3291.1221,90.1022,90.1022
3292.3488,109.4239,109.4239
3293.2801,83.1538,83.1538
3294.1375,95.3978,95.3978
3295.3865,80.5221,80.5221
3295.8272,115.912,115.912
3297.3452,93.9821,93.9821
3298.8167,89.1147,89.1147
3299.7758,87.2163,87.2163
3300.2449,99.2367,99.2367
3300.7964,88.1013,88.1013
3301.3814,90.0964,90.0964
3301.5932,91.2364,91.2364
3302.0175,80.0122,80.0122
3304.2688,78.5314,78.5314
3304.5585,79.0871,79.0871
3305.1574,112.5509,112.5509
3305.1851,95.377,95.377
3306.1364,95.5756,95.5756
3306.6326,77.2408,77.2408
3307.1137,55.264,55.264
3309.0557,93.9405,93.9405
3309.8028,100.0123,100.0123
3310.5019,113.8103,113.8103
3312.023,84.6062,84.6062
3312.2174,105.1778,105.1778
3312.2771,128.6287,128.6287
3313.2038,124.2853,124.2853
3313.241,86.5712,86.5712
3313.7823,73.444,73.444
3313.8638,95.8485,95.8485
3314.1528,94.8114,94.8114
3314.8609,105.9597,105.9597
3315.1041,64.1882,64.1882
3315.7345,109.3689,109.3689
3317.1814,205.0711,205.0711
3317.1987,88.3958,88.3958
3317.9252,108.2043,108.2043
3319.5447,93.3823,93.3823
3320.2735,66.4131,66.4131
3320.6649,124.0773,124.0773
3321.9853,99.0241,99.0241
3324.2529,92.3328,92.3328
3324.6989,96.2785,96.2785
3325.0757,89.3052,89.3052
3325.7277,126.1143,126.1143
3325.8481,63.088,63.088
3326.4444,104.8468,104.8468
3326.6879,96.8714,96.8714
3327.7491,133.191,133.191
3327.809,97.889,97.889
3328.0177,92.8772,92.8772
3328.0981,106.192,106.192
3329.1904,107.4468,107.4468
3329.7143,94.9617,94.9617
3329.9862,87.6157,87.6157
3330.0156,113.2018,113.2018
3330.4467,122.2657,122.2657
3330.9974,25.8141,25.8141
3331.1161,88.894,88.894
3331.3707,92.8783,92.8783
3331.4253,99.0197,99.0197
3331.5424,91.383,91.383
3332.6116,89.531,89.531
3332.907,72.4047,72.4047
3334.5898,73.2363,73.2363
3334.6711,88.6837,88.6837
3334.8646,115.4157,115.4157
3335.3218,102.6005,102.6005
3335.9427,77.5285,77.5285
3336.1418,99.0407,99.0407
3336.3041,91.5801,91.5801
3336.735,89.4053,89.4053
3337.3307,78.3397,78.3397
3337.3338,105.3959,105.3959
3338.1613,100.0,100.0
3338.5442,105.5237,105.5237
3339.0006,81.8989,81.8989
3340.5801,67.97,67.97
3341.2896,63.1025,63.1025
3341.5057,77.7702,77.7702
3341.6501,116.8136,116.8136
3342.2884,108.9704,108.9704
3342.5947,95.9855,95.9855
3343.7512,63.9266,63.9266
3343.9535,90.9899,90.9899
3344.3459,128.5963,128.5963
3344.5844,94.8915,94.8915
3345.1617,104.5029,104.5029
3345.1739,71.7129,71.7129
3345.235,75.0737,75.0737
3346.253,97.7497,97.7497
3346.2778,65.4068,65.4068
3346.4054,129.2565,129.2565
3346.6203,111.4537,111.4537
3347.6629,57.1269,57.1269
3347.9692,86.3884,86.3884
3348.7887,102.8203,102.8203
3349.1901,86.8629,86.8629
3349.9066,112.9861,112.9861
3350.202,79.2636,79.2636
3350.4256,76.3149,76.3149
3350.8556,104.7904,104.7904
3351.6345,72.8715,72.8715
3351.6841,64.7032,64.7032
3351.7424,89.3734,89.3734
3351.7604,97.5633,97.5633
3352.0396,92.169,92.169
3353.8113,87.3747,87.3747
3353.8865,83.3028,83.3028
3354.3175,63.0419,63.0419
3354.83,106.8858,106.8858
3355.491,94.4002,94.4002
3356.7781,63.0947,63.0947
3357.8647,71.0879,71.0879
3358.0695,57.4839,57.4839
3358.3343,123.5422,123.5422
3359.0113,58.3024,58.3024
3359.5122,81.3116,81.3116
3359.843,107.1845,107.1845
3360.6443,65.6386,65.6386
3361.3874,68.2548,68.2548
3362.2528,113.6743,113.6743
3363.0987,98.5279,98.5279
3364.2465,72.4308,72.4308
3364.6355,71.7169,71.7169
3364.6726,87.4911,87.4911
3365.426,133.1104,133.1104
3365.4633,71.6634,71.6634
3365.9438,87.6421,87.6421
3366.353,85.3411,85.3411
3366.5503,74.3618,74.3618
3366.6234,135.9338,135.9338
3367.6202,72.6859,72.6859
3367.6481,110.8239,110.8239
3370.4553,44.0866,44.0866
3370.7451,72.0329,72.0329
3371.4845,64.3168,64.3168
3372.2413,52.0483,52.0483
3372.4925,65.1462,65.1462
3373.234,78.9828,78.9828
3373.631,63.0021,63.0021
3373.7546,106.8113,106.8113
3373.9923,48.6693,48.6693
3376.3983,111.8792,111.8792
3376.5099,97.162,97.162
3377.5219,113.9604,113.9604
3378.3952,144.0104,144.0104
3378.4751,155.886,155.886
3379.403,64.3468,64.3468
3379.623,38.0551,38.0551
3379.6621,72.7077,72.7077
3379.7132,101.8379,101.8379
3379.8798,75.1546,75.1546
3380.0007,94.8821,94.8821
3380.9284,71.9348,71.9348
3381.0349,81.6703,81.6703
3381.231,67.9641,67.9641
3381.3454,65.0586,65.0586
3381.3869,97.7797,97.7797
3382.6407,121.3747,121.3747
3383.732,86.0045,86.0045
3384.8231,103.1676,103.1676
3385.7458,57.6001,57.6001
3386.2798,89.8452,89.8452
3386.2924,72.9259,72.9259
3386.3221,72.7208,72.7208
3386.5788,70.5551,70.5551
3386.8083,56.3958,56.3958
3387.0736,62.9779,62.9779
3387.6552,82.957,82.957
3388.7718,101.9554,101.9554
3388.9148,70.5476,70.5476
3389.6409,80.3984,80.3984
3390.1447,106.1818,106.1818
3390.6434,71.7671,71.7671
3391.695,65.1301,65.1301
3391.9101,87.3537,87.3537
3392.0721,62.8287,62.8287
3393.0916,72.2936,72.2936
3394.4318,62.9989,62.9989
3394.5329,77.7186,77.7186
3394.5646,93.1977,93.1977
3395.4829,116.7621,116.7621
3397.5803,72.0677,72.0677
3398.8872,109.085,109.085
3399.1254,63.0617,63.0617
3400.1853,233.2232,233.2232
3400.6221,102.8446,102.8446
3401.2414,72.3035,72.3035
3401.4543,74.6348,74.6348
3401.4809,80.0456,80.0456
3401.6423,68.1011,68.1011
3402.4596,120.6903,120.6903
3402.6289,64.9435,64.9435
3403.3289,100.7405,100.7405
3405.0486,109.4537,109.4537
3405.8995,113.1221,113.1221
3406.1956,64.7113,64.7113
3406.7432,72.2552,72.2552
3407.7386,103.8629,103.8629
3408.7564,88.0904,88.0904
3409.3003,70.8343,70.8343
3409.7802,72.9281,72.9281
3410.0891,77.6982,77.6982
3410.3022,73.5075,73.5075
3411.142,63.1084,63.1084
3412.052,69.7298,69.7298
3412.4562,80.733,80.733
3412.8728,56.5811,56.5811
3414.2268,114.7464,114.7464
3414.3404,86.8394,86.8394
3414.3615,79.6449,79.6449
3415.4704,84.6403,84.6403
3415.5687,106.5449,106.5449
3415.6096,91.1613,91.1613
3415.9791,79.6143,79.6143
3416.1963,78.9069,78.9069
3416.4661,121.7049,121.7049
3416.475,102.3579,102.3579
3416.4894,72.0571,72.0571
3417.1437,82.1308,82.1308
3417.4318,62.9733,62.9733
3419.0964,83.3999,83.3999
3421.3744,47.4805,47.4805
3421.4508,130.2277,130.2277
3421.5031,105.4037,105.4037
3421.9313,87.3673,87.3673
3423.8075,112.8291,112.8291
3424.0216,67.0168,67.0168
3424.3319,87.4057,87.4057
