사업장명,도로명주소,raw_score_noise_pub,경도,위도
게코노래타운,서울특별시 강북구 도봉로87길 7 (수유동),1.0,127.02213866182608,37.638170191350056
더 킹,서울특별시 강북구 도봉로87길 3 (수유동),1.0,127.02227219295159,37.63809261224351
민트,"서울특별시 강북구 한천로131길 36, 동국빌딩 지하1층 (번동)",1.0,127.02374971987871,37.63790447650332
빠리,서울특별시 강북구 도봉로 343 (수유동),1.0,127.02289846143876,37.63852634772606
바나나 룸,서울특별시 강북구 덕릉로19길 4 (수유동),1.0,127.01769610104293,37.63473596062467
슈퍼스타 케이,서울특별시 강북구 도봉로87길 3 (수유동),1.0,127.02227219295159,37.63809261224351
궁전 노래주점,서울특별시 강북구 도봉로 284-9 (미아동),1.0,127.02108910469437,37.633958689016254
상상노래주점,"서울특별시 강북구 수유로 82, 지1층 (수유동)",1.0,127.0197554515331,37.636117558738796
샴푸나이트,"서울특별시 강북구 도봉로 308, 지하 1~2층 (번동)",1.0,127.02092712354879,37.63569201942927
팝콘,"서울특별시 강북구 도봉로 345, 지1층 (수유동)",1.0,127.02302727656539,37.63864665602432
티아라,"서울특별시 강북구 도봉로 341, 지하1층 (수유동)",1.0,127.0226995242776,37.6383423976428
터널,"서울특별시 강북구 도봉로 313, 효성인텔리안오피스텔 지하1층 105호 (수유동)",1.0,127.02051965174044,37.636430612305894
블루문,"서울특별시 강북구 도봉로 331, 지하1층 (수유동)",1.0,127.02203823546543,37.637683843830025
마블,"서울특별시 강북구 도봉로 355-6, 몽모텔 지하1층 (수유동)",1.0,127.02371213825231,37.639543888605544
나인 노래주점,"서울특별시 강북구 도봉로87길 3, 덕인빌딩 2층 201호 (수유동)",1.0,127.02227219295159,37.63809261224351
뉴욕 노래주점,"서울특별시 강북구 수유로 84, 지하 1층 (수유동)",1.0,127.01994785316289,37.63610059439994
칠일일,"서울특별시 동대문구 장한로 27, 지하1층 (장안동)",1.0,127.0629947240842,37.563956495901905
메트로,"서울특별시 동대문구 장한로2길 18, 지하1층 (장안동)",1.0,127.0632944848015,37.561897262122415
본전,"서울특별시 동대문구 이문로 174 (이문동,(이문로 174))",1.0,127.05937505596115,37.60199520497829
911,"서울특별시 동대문구 장한로24길 7, 지하1층 (장안동)",1.0,127.06861192941977,37.57094428480844
아지트7080,서울특별시 동대문구 장한로21길 11-4 (장안동),1.0,127.06605035775667,37.56965138322302
더블유,서울특별시 동대문구 왕산로 273 (청량리동),1.0,127.0478732579895,37.58515088583246
토마토,"서울특별시 동대문구 장한로24길 15, 지하1층 (장안동)",1.0,127.06899425098082,37.57072742080406
보보스,"서울특별시 동대문구 장한로 126 (장안동,(장한로 126))",1.0,127.06870611825323,37.571553499263075
황실,"서울특별시 동대문구 왕산로 112 (용두동,(왕산로 248-1))",1.0,127.03279779879672,37.57796311116265
멤버노래주점,"서울특별시 동대문구 왕산로 138-1, 지하1층 (용두동)",1.0,127.03591347669068,37.57795090481824
샤롯데,"서울특별시 동대문구 장한로 92, 8층 (장안동)",1.0,127.06691164968562,37.56871326900155
아프리카,"서울특별시 동대문구 장한로 111, 지하1층 (장안동)",1.0,127.06732668949518,37.570509282857714
열린주점,"서울특별시 동대문구 천호대로 291-1, 지하1층 (답십리동)",1.0,127.05067066954008,37.566719751491
더뱅크,서울특별시 동대문구 장한로 6 (장안동),1.0,127.06253920270845,37.56184913309009
디바,서울특별시 동대문구 장한로 77 (장안동),1.0,127.06561744667013,37.567874280097605
메들리,"서울특별시 동대문구 천호대로 343, 지하1층 (답십리동)",1.0,127.0550036960948,37.56351304587374
게코노래타운,"서울특별시 동대문구 장한로 116 (장안동,지하1층)",1.0,127.06817606255237,37.57073483671527
요준코소주호프,"서울특별시 동대문구 장한로 92, 지하1층 (장안동, 화성빌딩 )",1.0,127.06691164968562,37.56871326900155
도파민,"서울특별시 동대문구 장한로 115, 지하1층 (장안동)",1.0,127.06761074564878,37.57094724754469
초이스,"서울특별시 동대문구 장한로22길 7, 지하1층 (장안동)",1.0,127.06790338648779,37.56970491946122
팡팡노래짱,"서울특별시 동대문구 고산자로 428, 지하1층 (용두동)",1.0,127.03572407823579,37.57772045743897
더블클럽,"서울특별시 동대문구 장한로 106, 3층 (장안동)",1.0,127.0676593120135,37.56988464559807
라벤드,"서울특별시 동대문구 장한로 92, 6층 (장안동)",1.0,127.06701631989331,37.56887562886189
피아노,"서울특별시 동대문구 장한로21길 8, 지하1층 (장안동)",1.0,127.06685081863978,37.57017998668235
하트,"서울특별시 동대문구 장한로24길 8, 지상2층 (장안동)",1.0,127.06843465123481,37.57064083989801
조아죽네,"서울특별시 동대문구 장한로 111, 지상2층 (장안동)",1.0,127.06732668949518,37.570509282857714
썸엔썸노래바,"서울특별시 동대문구 장한로 111-1, 지하1층 (장안동)",1.0,127.06744909037172,37.57069916408788
첼로,"서울특별시 동대문구 장한로21길 8, 지하2층 (장안동)",1.0,127.06685081863978,37.57017998668235
스타,"서울특별시 동대문구 장한로24길 8, 지하 1층 (장안동)",1.0,127.06843465123481,37.57064083989801
우리,서울특별시 중랑구 봉우재로 127 (상봉동),1.0,127.0842144097969,37.593017436274
놀러와,서울특별시 중랑구 동일로 923 (묵동),1.0,127.07399266505512,37.612835800624524
샴푸노래,서울특별시 중랑구 동일로 852 (묵동),1.0,127.07596562434635,37.606467461956456
